0    1349.65   1.7276
50   1325.03   1.7543
100  1300.29   1.7817
150  1275.44   1.8099
200  1250.49   1.8388
250  1225.41   1.8685
300  1200.22   1.8991
350  1175.13   1.9298
400  1149.72   1.9621
450  1124.17   1.9953
500  1098.51   2.0295
550  1072.73   2.0647
600  1046.82   2.1009
